"","sector","district","ds","psu","ssu","hhuno","no_of_h_h","finalweight","sno1","Fzy_Housing_struc","Fzy_wall","Fzy_floor","Fzy_roof","Fzy_room","floorAre2","Fzy_Fl_area","Fzy_ownership","Fzy_elec","Fzy_safedw","Fzy_cookF","Fzy_toiTp","Fzy_housing_satis","Fzy_Housing_adq","Fzy_radio","Fzy_tv","Fzy_washmach","Fzy_refrig","Fzy_cooker","Fzy_fan","Fzy_tel_land","Fzy_mobile","Fzy_comp_des","Fzy_laptop","Fzy_mo_cycle","Fzy_threw","Fzy_bus","Fzy_clodq","Fzy_closaty","Fzy_buyclot"
"1","Urban","Badulla",21,35,1,1,1,353.7029458,2,0,"Permanent","Permanent","Permanent",0.40000001,3,0.33333334,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0.5
"2","Urban","Badulla",21,35,2,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0,3,0.33333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.5
"3","Urban","Badulla",21,35,3,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0.40000001,3,0.33333334,0.75,0,0,1,0,0.25,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0.75
"4","Urban","Badulla",21,35,4,1,1,353.7029458,2,0,"Permanent","Permanent","Permanent",0.60000002,2,0.66666669,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0.75
"5","Urban","Badulla",21,35,5,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0.80000001,2,0.66666669,0.75,0,0,1,0,0.25,0.66666669,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0.75
"6","Urban","Badulla",21,35,6,1,1,353.7029458,2,0,"Permanent","Permanent","Permanent",0.60000002,2,0.66666669,0,0,0,1,0,0.25,0.33333334,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0.75
"7","Urban","Badulla",21,35,7,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0.40000001,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.75
"8","Urban","Badulla",21,35,8,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0.75
"9","Urban","Badulla",21,35,9,1,1,353.7029458,1,0,"Permanent","Permanent","Permanent",0.40000001,4,0,0.25,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0.75
"10","Urban","Badulla",21,35,10,1,1,353.7029458,2,0,"Permanent","Permanent","Permanent",0.60000002,3,0.33333334,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0.75
